,picture,classnumber,date
1413,dataset\2020120700.jpg,1,2020120700
1414,dataset\2020120712.jpg,1,2020120712
1415,dataset\2020120800.jpg,1,2020120800
1416,dataset\2020120812.jpg,0,2020120812
1417,dataset\2020120900.jpg,5,2020120900
1418,dataset\2020120912.jpg,0,2020120912
1419,dataset\2020121000.jpg,5,2020121000
1420,dataset\2020121012.jpg,0,2020121012
1421,dataset\2020121100.jpg,1,2020121100
1422,dataset\2020121112.jpg,5,2020121112
1423,dataset\2020121200.jpg,0,2020121200
1424,dataset\2020121212.jpg,1,2020121212
1425,dataset\2020121300.jpg,1,2020121300
1426,dataset\2020121312.jpg,1,2020121312
1427,dataset\2020121400.jpg,1,2020121400
1428,dataset\2020121412.jpg,1,2020121412
1429,dataset\2020121500.jpg,1,2020121500
1430,dataset\2020121512.jpg,1,2020121512
1431,dataset\2020121600.jpg,1,2020121600
1432,dataset\2020121612.jpg,5,2020121612
1433,dataset\2020121700.jpg,1,2020121700
1434,dataset\2020121712.jpg,1,2020121712
1435,dataset\2020121800.jpg,1,2020121800
1436,dataset\2020121812.jpg,1,2020121812
1437,dataset\2020121900.jpg,1,2020121900
1438,dataset\2020121912.jpg,1,2020121912
1439,dataset\2020122000.jpg,1,2020122000
1440,dataset\2020122012.jpg,5,2020122012
1441,dataset\2020122100.jpg,5,2020122100
1442,dataset\2020122112.jpg,5,2020122112
1443,dataset\2020122200.jpg,5,2020122200
1444,dataset\2020122212.jpg,5,2020122212
1445,dataset\2020122300.jpg,1,2020122300
1446,dataset\2020122312.jpg,5,2020122312
1447,dataset\2020122400.jpg,5,2020122400
1448,dataset\2020122412.jpg,5,2020122412
1449,dataset\2020122500.jpg,1,2020122500
1450,dataset\2020122512.jpg,1,2020122512
1451,dataset\2020122600.jpg,5,2020122600
1452,dataset\2020122612.jpg,0,2020122612
1453,dataset\2020122700.jpg,5,2020122700
1454,dataset\2020122712.jpg,5,2020122712
1455,dataset\2020122800.jpg,5,2020122800
1456,dataset\2020122812.jpg,1,2020122812
1457,dataset\2020122900.jpg,1,2020122900
1458,dataset\2020122912.jpg,1,2020122912
1459,dataset\2020123000.jpg,1,2020123000
1460,dataset\2020123012.jpg,1,2020123012
1461,dataset\2020123100.jpg,1,2020123100
1462,dataset\2020123112.jpg,2,2020123112
1463,dataset\2021010100.jpg,0,2021010100
1464,dataset\2021010112.jpg,5,2021010112
1465,dataset\2021010200.jpg,1,2021010200
1466,dataset\2021010212.jpg,1,2021010212
1467,dataset\2021010300.jpg,1,2021010300
1468,dataset\2021010312.jpg,1,2021010312
1469,dataset\2021010400.jpg,1,2021010400
1470,dataset\2021010412.jpg,5,2021010412
1471,dataset\2021010500.jpg,5,2021010500
1472,dataset\2021010512.jpg,5,2021010512
1473,dataset\2021010600.jpg,1,2021010600
1474,dataset\2021010612.jpg,1,2021010612
1475,dataset\2021010700.jpg,1,2021010700
1476,dataset\2021010712.jpg,1,2021010712
1477,dataset\2021010800.jpg,1,2021010800
1478,dataset\2021010812.jpg,1,2021010812
1479,dataset\2021010900.jpg,1,2021010900
1480,dataset\2021010912.jpg,1,2021010912
1481,dataset\2021011000.jpg,5,2021011000
1482,dataset\2021011012.jpg,1,2021011012
1483,dataset\2021011100.jpg,1,2021011100
1484,dataset\2021011112.jpg,0,2021011112
1485,dataset\2021011200.jpg,0,2021011200
1486,dataset\2021011212.jpg,1,2021011212
1487,dataset\2021011300.jpg,1,2021011300
